2Track,Artist,Album,AddedDate
"Na Na Na [Na Na Na Na Na Na Na Na Na]","My Chemical Romance ","Na Na Na [Na Na Na Na Na Na Na Na Na]","2014-11-04T03:04:36Z"
"American Idiot","Green Day ","American Idiot (Regular Edition)","2014-11-04T03:14:46Z"
"Harlem","New Politics ","A Bad Girl In Harlem","2014-11-04T03:16:15Z"
"Everywhere I Go (Kings And Queens)","New Politics ","Everywhere I Go (Kings And Queens)","2014-11-09T22:19:57Z"
""From Now On We Are Enemies" - Bonus Track","Fall Out Boy ","Believers Never Die - Greatest Hits","2014-11-04T03:16:29Z"
"The Days","Avicii ","The Days","2014-11-05T03:16:27Z"
"All The Way","Timeflies ","After Hours","2014-11-21T00:12:02Z"
"Shut Up and Dance","WALK THE MOON ","Shut Up and Dance","2014-11-04T03:16:34Z"
"Geronimo","Sheppard ","Geronimo","2014-11-04T03:16:38Z"
"On Top Of The World","Imagine Dragons ","Night Visions (Deluxe)","2014-11-04T03:17:14Z"
"My Best Friend","Weezer ","Make Believe","2014-11-04T03:18:30Z"
"You're My Best Friend - 2011 Remaster","Queen ","Queen 40 Limited Edition Collector's Box Set","2014-11-04T03:19:20Z"
"I Believe In A Thing Called Love","The Darkness ","Permission To Land","2014-11-04T03:19:25Z"
"People","AWOLNATION ","Megalithic Symphony Deluxe","2014-11-04T03:24:46Z"
"Smile","Sheppard ","Geronimo","2014-11-05T02:24:53Z"
"Best Thing","Anthem Lights ","Escape","2014-11-06T23:30:31Z"
"Pompeii","Bastille ","Bad Blood","2014-11-05T02:52:14Z"
"Resistance","Muse ","The Resistance","2014-11-05T02:57:21Z"
"Wake Me Up When September Ends","Green Day ","American Idiot (Regular Edition)","2014-11-05T03:12:41Z"
"Wake Me Up","Avicii ","Wake Me Up","2014-11-05T03:13:45Z"
"This Is Gospel","Panic! At The Disco ","Too Weird To Live, Too Rare To Die!","2014-11-05T03:20:04Z"
"Let's Kill Tonight","Panic! At The Disco ","Vices & Virtues","2014-11-05T03:20:22Z"
"Save Rock And Roll","Fall Out Boy Elton John ","Save Rock And Roll","2014-11-05T03:20:34Z"
"I Wanna Get Better","Bleachers ","Strange Desire","2014-11-05T03:20:52Z"
"Welcome To My Life","Simple Plan ","Still Not Getting Any","2014-11-21T01:22:46Z"
"Like a Drum","Guy Sebastian ","Like a Drum","2014-11-05T03:23:20Z"
"A Sky Full of Stars","Coldplay ","A Sky Full Of Stars","2014-11-05T03:23:54Z"
"Things We Lost In The Fire","Bastille ","Bad Blood","2014-11-05T03:24:05Z"
"Icarus","Bastille ","All This Bad Blood","2014-11-05T03:24:23Z"
"Nine In The Afternoon - Radio Mix","Panic! At The Disco ","Pretty. Odd.","2014-11-05T03:24:52Z"
"Scott Pilgrim","Plumtree ","Scott Pilgrim vs. the World (Original Motion Picture Soundtrack)","2014-11-06T23:32:30Z"
"Tightrope","WALK THE MOON ","Tightrope EP","2014-11-05T03:25:25Z"
"Warriors","Imagine Dragons ","Warriors","2014-11-05T03:26:56Z"
"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy ","Save Rock And Roll","2014-11-05T03:25:47Z"
"Do Or Die","Thirty Seconds To Mars ","LOVE LUST FAITH + DREAMS (Edited Version)","2014-11-05T03:26:42Z"
"Through The Fire And Flames","DragonForce ","Inhuman Rampage","2014-11-05T03:27:21Z"
"You're Gonna Go Far, Kid","The Offspring ","Rise And Fall, Rage And Grace","2014-11-05T03:27:47Z"
"Hero","Skillet ","Awake","2014-11-05T03:28:06Z"
"Not Gonna Die","Skillet ","Rise","2014-11-05T03:28:15Z"
"Carry on Wayward Son","Kansas ","The Essential Kansas","2014-11-05T03:28:55Z"
"Welcome To The Black Parade","My Chemical Romance ","The Black Parade (Explicit Version)","2014-11-05T03:28:59Z"
"Lighters","Bad Meets Evil Bruno Mars ","Hell: The Sequel (Deluxe Explicit Version)","2014-11-05T03:29:04Z"
"Counting Stars","OneRepublic ","Native (Deluxe)","2014-11-05T03:29:23Z"
"Bleeding Out","Imagine Dragons ","Night Visions (Deluxe)","2014-11-05T03:29:34Z"
"Don't You Worry Child (Radio Edit) [feat. John Martin]","Swedish House Mafia John Martin ","Don't You Worry Child (feat. John Martin)","2014-11-05T03:31:01Z"
"Viva La Vida","Coldplay ","Viva La Vida Or Death And All His Friends","2014-11-05T03:31:06Z"
"Take On Me","a-ha ","Hunting High And Low","2014-11-05T03:31:18Z"
"We Are The Champions","Queen ","Queen 40 Limited Edition Collector's Box Set Vol. 2","2014-11-05T03:31:27Z"
"Never Gonna Give You Up","Rick Astley ","Platinum & Gold Collection","2014-11-06T23:39:09Z"
"Centuries","Fall Out Boy ","Centuries","2014-11-05T03:31:37Z"
"Kill Your Heroes","AWOLNATION ","Megalithic Symphony Deluxe","2014-11-05T03:33:22Z"
"Anna Sun","WALK THE MOON ","Walk The Moon","2014-11-05T03:31:46Z"
"One Republic Mash-Up","Anthem Lights ","Covers Part III","2014-11-06T23:30:49Z"
